dataset,method,experiment_type,S_AVG_ALL,T_AVG,COMBINED_AVG,Snapshot_1_in_degree,Snapshot_1_out_degree,Snapshot_1_wcc,Snapshot_1_scc,Snapshot_1_hop_plot,Snapshot_1_hop_plot_wcc,Snapshot_1_singular_vec,Snapshot_1_singular_val,Snapshot_1_clustering,Snapshot_1_AVG,Snapshot_2_in_degree,Snapshot_2_out_degree,Snapshot_2_wcc,Snapshot_2_scc,Snapshot_2_hop_plot,Snapshot_2_hop_plot_wcc,Snapshot_2_singular_vec,Snapshot_2_singular_val,Snapshot_2_clustering,Snapshot_2_AVG,Snapshot_3_in_degree,Snapshot_3_out_degree,Snapshot_3_wcc,Snapshot_3_scc,Snapshot_3_hop_plot,Snapshot_3_hop_plot_wcc,Snapshot_3_singular_vec,Snapshot_3_singular_val,Snapshot_3_clustering,Snapshot_3_AVG,Snapshot_4_in_degree,Snapshot_4_out_degree,Snapshot_4_wcc,Snapshot_4_scc,Snapshot_4_hop_plot,Snapshot_4_hop_plot_wcc,Snapshot_4_singular_vec,Snapshot_4_singular_val,Snapshot_4_clustering,Snapshot_4_AVG,T_T1_dpl,T_T2_diameter,T_T3_cc_size,T_T4_singular,T_T5_clustering,T_T_AVG,alpha
cit-HepTh,RN,back_in_time,0.21908162957769375,0.34,0.2795408147888469,0.3636794079358349,0.2945893744494142,0.029830679651769675,0.0018750273242729594,0.4761904761904762,0.3833333333333333,0.3220772283272283,0.4000000000000001,0.8993265993265993,0.3523224585043254,0.12996430414199092,0.11839889825893803,0.01258175506360156,0.0018750273242729594,0.29047619047619044,0.18333333333333335,0.16076478251199441,0.5888888888888889,0.21534576534576533,0.1890698828161084,0.04751999063356044,0.026760352469638374,0.015704337905288888,0.0018750273242729594,0.14166666666666666,0.125,0.08191530691530692,0.5222222222222223,0.2152861952861953,0.13088334438035018,0.15655610701998715,0.22603537756257544,0.041485822986940916,0.008501107565480608,0.20476190476190478,0.16666666666666666,0.2252243997002574,0.4777777777777777,0.32944832944832947,0.20405083260999113,0.2333333333333333,0.20000000000000004,0.5333333333333333,0.26666666666666666,0.4666666666666666,0.34,
cit-HepTh,RPN,back_in_time,0.2543514650802707,0.26666666666666666,0.2605090658734686,0.540804083429209,0.5444507478283195,0.04592483309666338,0.00949728388512188,0.45384615384615384,0.4243589743589744,0.5651164311878597,0.5,0.9538239538239539,0.4486469401618061,0.3070889796353651,0.3711174144949861,0.0256819181169063,0.00949728388512188,0.3089133089133089,0.23076923076923075,0.44335025259746447,0.16666666666666666,0.26465201465201466,0.23641522997011832,0.22835606830443375,0.2571937283898745,0.017592183667833786,0.00949728388512188,0.23076923076923075,0.18867521367521367,0.3006672494172494,0.3444444444444445,0.28610389610389614,0.2070332554063665,0.07939246345174743,0.05404670742427901,0.03077157519295558,0.002291956598212127,0.1047008547008547,0.11282051282051282,0.11091936000608173,0.45555555555555555,0.17729492729492732,0.1253104347827918,0.20000000000000004,0.3333333333333333,0.3333333333333333,0.20000000000000004,0.26666666666666666,0.26666666666666666,
cit-HepTh,RDN,back_in_time,0.34244762344359386,0.21333333333333335,0.27789047838846365,0.6678742386066715,0.7282148317087153,0.04380373595860154,0.017172134907714645,0.4577677224736048,0.43019943019943024,0.773449764521193,0.5,0.9693627450980392,0.5097605114971078,0.4400227558078897,0.554881498375382,0.02965868672583301,0.017172134907714645,0.2982654600301659,0.22421652421652424,0.6516835859307978,0.25555555555555554,0.4837151206636501,0.32835236913483473,0.3730167273236282,0.4654607380375437,0.0174147685514592,0.017172134907714645,0.2371794871794872,0.24501424501424504,0.5081993006993007,0.4666666666666666,0.385,0.3016804520422272,0.23103008674591272,0.2725815652333252,0.035066372917925824,0.006796000017961077,0.10096153846153848,0.09763700351935646,0.3044369508791364,0.5666666666666665,0.45479826546003016,0.22999716110020593,0.20000000000000004,0.26666666666666666,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.21333333333333335,
cit-HepTh,RW,back_in_time,0.43818207457837915,0.22666666666666666,0.3324243706225229,0.6430695354174464,0.7000422408347359,1.0,0.014577678641055178,0.4287581699346405,0.4375,0.8658261381475668,0.4666666666666666,0.9795862204530935,0.6151140722328005,0.4093544316236024,0.5267089075014025,1.0,0.014577678641055178,0.26111111111111107,0.18834033613445378,0.7440599595571715,0.35555555555555557,0.33708630550735813,0.4263104761813011,0.32674876174607037,0.42557962349322204,1.0,0.014577678641055178,0.24836601307189543,0.2511437908496732,0.6005756743256743,0.43333333333333335,0.31120841318983733,0.4012814765167512,0.17657602565893638,0.22530073671325532,0.9987804878048779,0.0043995207474448045,0.11011904761904762,0.1298202614379085,0.4083923277061778,0.4777777777777778,0.2590342749785474,0.3100222733826637,0.20000000000000004,0.26666666666666666,0.26666666666666666,0.20000000000000004,0.20000000000000004,0.22666666666666666,
cit-HepTh,FF,back_in_time,0.3392612444229332,0.25333333333333335,0.2962972888781333,0.5471856816536788,0.6100235921000475,0.36874691524206943,0.019095158537791566,0.4356676003734827,0.43452380952380953,0.7109661172161172,0.5,0.9616692830978545,0.5097642397494279,0.3134705778598348,0.43669025876671413,0.34850400026231226,0.019095158537791566,0.2903947903947904,0.19497863247863248,0.5595361500333619,0.3666666666666667,0.4871140763997907,0.33516114571109945,0.22879027702977606,0.3254132478929062,0.3289679807262928,0.019095158537791566,0.24272486772486776,0.23082010582010581,0.4162830225330225,0.4888888888888889,0.44154369440083724,0.30250302706160986,0.07688338485506017,0.12612254671650971,0.29743041260335873,0.008719023648038,0.07142857142857142,0.11388888888888889,0.19730476004300654,0.5777777777777777,0.4169937205651491,0.20961656516959562,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.26666666666666666,0.25333333333333335,
cit-HepTh,HYB-RN-RW(alpha=0.3),back_in_time,0.28587178581621464,0.24,0.2629358929081073,0.6082943308169244,0.6643587979323063,0.042991257474465,0.010880867687271237,0.43452380952380953,0.43203093203093196,0.7492737827654548,0.4444444444444445,0.9587694697329249,0.48284085471205923,0.3745792270230805,0.49102546459897306,0.0632341724542221,0.010880867687271237,0.29304029304029305,0.21750700280112045,0.6275076041750595,0.24444444444444446,0.19277400340523262,0.27944367551441074,0.2937863899086308,0.37710177849386145,0.08277019199024162,0.010880867687271237,0.22057387057387057,0.21005709976298212,0.4840233189435623,0.13333333333333333,0.15363161755188334,0.21846205202729296,0.1448569511752463,0.17395475752826597,0.1143077601131756,0.001667232394608798,0.11603102779573367,0.14066293183940243,0.39193853923349203,0.24444444444444446,0.13680140457549095,0.16274056101109557,0.20000000000000004,0.26666666666666666,0.26666666666666666,0.20000000000000004,0.26666666666666666,0.24,0.3
cit-HepTh,HYB-RN-RW(alpha=0.5),back_in_time,0.2638152961878614,0.25333333333333335,0.2585743147605974,0.568296106836005,0.6073908438248433,0.02970383806772567,0.007369274871616091,0.45054945054945056,0.4243589743589744,0.6553862204341511,0.4222222222222222,0.9531842818428183,0.45760680144531185,0.33458100304216104,0.433105129539129,0.04848848481540977,0.007369274871616091,0.30891330891330887,0.2145909645909646,0.5336200418437559,0.3333333333333333,0.19179695643110276,0.2673109441534201,0.24889565066135524,0.3178364141942513,0.06802450435142932,0.007369274871616091,0.2111111111111111,0.19264346764346765,0.3906653657763392,0.14444444444444446,0.1344241192411924,0.19060159469946739,0.09636917122418205,0.11549570192970136,0.09956207247436329,0.0037796566914107513,0.10103785103785103,0.11514041514041513,0.32046256752042196,0.18888888888888888,0.21694027517198247,0.13974184445324633,0.20000000000000004,0.3333333333333333,0.3333333333333333,0.20000000000000004,0.20000000000000004,0.25333333333333335,0.5
cit-HepTh,HYB-RN-RW(alpha=0.7),back_in_time,0.24070320320563413,0.2933333333333333,0.2670182682694837,0.5176679017919251,0.521864172442324,0.02022467656849723,0.005832343600388427,0.5303030303030303,0.4188034188034188,0.5428484867844153,0.4000000000000001,0.9435234699940582,0.43345194447645086,0.2839527979980812,0.3456736962518478,0.0366636113429028,0.005832343600388427,0.3222610722610723,0.22365967365967365,0.4210823081940202,0.37777777777777777,0.18984414278531925,0.24519415820789814,0.1926982048222282,0.21107739999500819,0.056199630878922345,0.005832343600388427,0.19444444444444442,0.17200854700854704,0.27787418976727307,0.2111111111111111,0.14975341651812238,0.16344436534956056,0.04129007718209971,0.07523688183912976,0.08773719900185632,0.0045437912893651405,0.12337662337662338,0.12692307692307692,0.22614111105667942,0.17777777777777778,0.22347456465103524,0.12072234478862708,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.26666666666666666,0.2933333333333333,0.7
cit-HepTh,HYB-RN-FF(alpha=0.3),back_in_time,0.30434783183714603,0.23666666666666666,0.27050724925190633,0.5858278577243866,0.6084164315828486,0.06631730319224015,0.015344908964475412,0.43154761904761907,0.4343604108309991,0.6479591481612,0.5,0.9603053987552469,0.4722310086954462,0.3521127539305426,0.4350830982495153,0.046074388212483074,0.015344908964475412,0.289492207139266,0.1969187675070028,0.5252823911714055,0.41111111111111115,0.42299759511005713,0.2993796912662065,0.2673645329083409,0.32115941214440374,0.02779752618562104,0.015344908964475412,0.1969187675070028,0.19424603174603175,0.3817981059399084,0.5666666666666667,0.43186568244319007,0.26701795938951567,0.11840092805565455,0.11971785320483148,0.024255885146511728,0.004968774074721845,0.07544351073762838,0.10028011204481792,0.15491779072095593,0.6222222222222221,0.3886569357693978,0.17876266799741578,0.25,0.26666666666666666,0.26666666666666666,0.20000000000000004,0.20000000000000004,0.23666666666666666,0.3
cit-HepTh,HYB-RN-FF(alpha=0.5),back_in_time,0.27777958906449957,0.23666666666666666,0.2572231278655831,0.5735288019770779,0.5784169267669809,0.020918730883639877,0.011834753706254537,0.46336996336996333,0.42277167277167277,0.5902116810898635,0.48888888888888893,0.9552549889135254,0.45613293426309626,0.33981369818323387,0.4050835934336474,0.013795417591679156,0.011834753706254537,0.30891330891330887,0.23168498168498167,0.46844550249946826,0.25555555555555554,0.34907214736483033,0.26491099543699553,0.2539809424292183,0.2930308742156021,0.021934407976230932,0.011834753706254537,0.2371794871794872,0.175976800976801,0.3252360180374133,0.41111111111111104,0.35582409460458236,0.23178983224852232,0.09640537227491151,0.091317920342821,0.05344358072193232,0.0019151477326565672,0.08699633699633698,0.126007326007326,0.12676000909037924,0.5222222222222221,0.3194934333958724,0.15828459430938424,0.25,0.26666666666666666,0.26666666666666666,0.20000000000000004,0.20000000000000004,0.23666666666666666,0.5
