dataset,ratio,method,method_type,alpha,run,n_samples,in_degree,out_degree,wcc,scc,hop_plot,hop_plot_wcc,singular_vec,singular_val,clustering,AVG,experiment_type,S_AVG_ALL,T_AVG,COMBINED_AVG,Snapshot_1_in_degree,Snapshot_1_out_degree,Snapshot_1_wcc,Snapshot_1_scc,Snapshot_1_hop_plot,Snapshot_1_hop_plot_wcc,Snapshot_1_singular_vec,Snapshot_1_singular_val,Snapshot_1_clustering,Snapshot_1_AVG,Snapshot_2_in_degree,Snapshot_2_out_degree,Snapshot_2_wcc,Snapshot_2_scc,Snapshot_2_hop_plot,Snapshot_2_hop_plot_wcc,Snapshot_2_singular_vec,Snapshot_2_singular_val,Snapshot_2_clustering,Snapshot_2_AVG,Snapshot_3_in_degree,Snapshot_3_out_degree,Snapshot_3_wcc,Snapshot_3_scc,Snapshot_3_hop_plot,Snapshot_3_hop_plot_wcc,Snapshot_3_singular_vec,Snapshot_3_singular_val,Snapshot_3_clustering,Snapshot_3_AVG,Snapshot_4_in_degree,Snapshot_4_out_degree,Snapshot_4_wcc,Snapshot_4_scc,Snapshot_4_hop_plot,Snapshot_4_hop_plot_wcc,Snapshot_4_singular_vec,Snapshot_4_singular_val,Snapshot_4_clustering,Snapshot_4_AVG,T_T1_dpl,T_T2_diameter,T_T3_cc_size,T_T4_singular,T_T5_clustering,T_T_AVG
cit-HepTh,0.1,RN,baseline,,0.0,2777.0,0.43350318767741636,0.6038504966919259,0.8458371816862383,0.005203803823738085,0.21008403361344538,0.19019607843137254,0.5199135758012243,0.23333333333333334,0.1091820987654321,0.3501226433137918,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RN,baseline,,1.0,2777.0,0.3956340760021536,0.5758925158125197,0.8498534660360386,0.0026730794577536354,0.19909502262443438,0.12605042016806722,0.46481814908174285,0.43333333333333335,0.14506172839506173,0.35471242121234503,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RN,baseline,,2.0,2777.0,0.40290617848970245,0.591981397483153,0.8528008074399827,0.0041207727407069905,0.20220588235294118,0.15294117647058825,0.45635577961829316,0.13333333333333333,0.16470258136924804,0.329038656588661,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RPN,baseline,,0.0,2777.0,0.14109509360064376,0.20470512760616644,0.8821283319191269,0.0004779014507768631,0.15098039215686274,0.18382352941176472,0.25956067698955704,0.4666666666666667,0.3655115511551155,0.2949943634396312,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RPN,baseline,,1.0,2777.0,0.15457583336968284,0.2323067889896655,0.8754771125289054,0.0033047640654169097,0.09663865546218488,0.09019607843137255,0.23802664746128915,0.4666666666666667,0.3564655721013109,0.2792953465640549,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RPN,baseline,,2.0,2777.0,0.15194172980674703,0.21902119190518565,0.8696589753858477,0.002575064179739739,0.17973856209150327,0.19040247678018576,0.21598847677349658,0.4,0.2978395061728395,0.28079622034394947,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RDN,baseline,,0.0,2777.0,0.05807783097761132,0.13893220389143368,0.8661777247143101,0.001245089957259471,0.11764705882352941,0.13725490196078433,0.36658264314007927,0.4666666666666667,0.26563122262046995,0.2686905936391272,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RDN,baseline,,1.0,2777.0,0.06837077987141305,0.15744292526241843,0.8514975590447289,0.0013303438400177336,0.08455882352941177,0.08088235294117647,0.3517824990997479,0.4666666666666667,0.29259259259259257,0.26168050476090815,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RDN,baseline,,2.0,2777.0,0.04492255470631701,0.13642141945093722,0.8921298000245369,0.0008537848654295299,0.10196078431372549,0.07352941176470588,0.3498379546272956,0.5,0.25029868578255676,0.26110604394838943,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RW,baseline,,0.0,2777.0,0.06445386757577665,0.06739796466106263,0.993006993006993,0.0018154135360365364,0.10784313725490197,0.12941176470588237,0.3199135758012243,0.43333333333333335,0.380718954248366,0.2775438893470641,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
