method,T1_in_degree,T1_out_degree,T1_wcc,T1_scc,T1_hop_plot,T1_hop_plot_wcc,T1_singular_vec,T1_singular_val,T1_clustering,T1_AVG,T2_in_degree,T2_out_degree,T2_wcc,T2_scc,T2_hop_plot,T2_hop_plot_wcc,T2_singular_vec,T2_singular_val,T2_clustering,T2_AVG,T3_in_degree,T3_out_degree,T3_wcc,T3_scc,T3_hop_plot,T3_hop_plot_wcc,T3_singular_vec,T3_singular_val,T3_clustering,T3_AVG,T4_in_degree,T4_out_degree,T4_wcc,T4_scc,T4_hop_plot,T4_hop_plot_wcc,T4_singular_vec,T4_singular_val,T4_clustering,T4_AVG,AVG_ALL
RN,0.35887848480973433,0.31112149521824595,0.03303009143336737,0.0030579062460916375,1.0,1.0,0.331559065934066,1.0,0.2465544871794872,0.4760223923134436,0.1251633810158904,0.13493101902776974,0.015377541734773065,0.0030579062460916375,0.8897222222222222,1.0,0.16836693356210086,0.8140000000000001,0.1285241516537985,0.3643492394958496,0.04284150491410784,0.03148153977663378,0.013861071687598741,0.0030579062460916375,0.49995726495726495,0.4494444444444444,0.1116381118881119,0.17200000000000001,0.019957167832167833,0.1493598901940468,0.15240693613505057,0.2235676005803778,0.038286411205343235,0.007318228643661928,0.8666666666666668,0.8600000000000001,0.22603851040953965,0.9359999999999999,0.2375491765223341,0.3942037255736638,0.345983811894251
RW,0.519393232661134,0.5105163989302492,0.2588678001668966,0.01190898829668801,1.0,1.0,0.6624084249084249,1.0,0.6205128205128205,0.6204008517195793,0.2856781288672901,0.33549466305856573,0.23862488518713948,0.01190898829668801,0.9293315018315018,1.0,0.4894415451339243,0.97,0.5016850753026404,0.5291294208530832,0.19723142217936557,0.22002436103795936,0.21908886565111999,0.01190898829668801,0.8996153846153847,0.8660439560439561,0.347888986013986,0.794,0.37987791375291374,0.4372977641768193,0.04048214352277948,0.03526657879280618,0.187551297528186,0.0028557177356719433,0.6347333548804137,0.5755863499245851,0.15693114065096275,0.588,0.14529666780699182,0.2629670278713775,0.46244876615521485
FF,0.711090695040205,0.8026419580456416,0.9801169590643275,0.026106192387581346,1.0,1.0,0.9174401491365776,1.0,0.9322115384615385,0.8188452769039858,0.4851135826526355,0.6301963710704916,0.9760683760683762,0.026106192387581346,0.9352911549235078,1.0,0.7956739705461824,1.0,0.8133837932513582,0.7402037156555704,0.4186197374645239,0.5398527294078409,0.9721611721611723,0.026106192387581346,0.936053638054412,0.935007272139625,0.6522698135198135,0.9359999999999999,0.6923592657342658,0.6787144245410259,0.2741390987537027,0.34418684019493406,0.9648780487804878,0.01573005749782778,0.8250207107134351,0.8029096213384138,0.46837084188577205,0.398,0.45710595656990194,0.5055934639704971,0.6858392202677698
HYB-RN-RW,0.5254878707401638,0.5293795059027115,0.15624885977257535,0.01182905672344454,1.0,1.0,0.64253663003663,1.0,0.6141826923076923,0.6088516239425796,0.2917727669463198,0.35421462367573076,0.13600594479281827,0.01182905672344454,0.9302806507218271,1.0,0.4783778953388619,0.9620000000000001,0.49522358450100085,0.5177449469666671,0.20128854414083713,0.23603048637989063,0.11646992525679875,0.01182905672344454,0.8899648962148963,0.8635958485958486,0.3355810023310023,0.8,0.37297610722610725,0.4253039852076473,0.040365269074256124,0.0399377698144628,0.08665505544192892,0.003440676727064623,0.6315094627594627,0.5417261904761904,0.13071883246994428,0.6,0.13984876437624214,0.24602244679328353,0.44948075072754434
HYB-RPN-FF,0.532593059543779,0.5628276449359587,0.29518298824396266,0.018819295646334853,1.0,1.0,0.6898122710622709,1.0,0.6709134615384615,0.6411276356634187,0.29887795574993514,0.38920018981608706,0.2749400732642056,0.018819295646334853,0.9330324822236588,1.0,0.5252785125345534,0.9800000000000001,0.5520600991325899,0.5524676231519294,0.21151963291082732,0.27544029242789836,0.25540405372818603,0.018819295646334853,0.9321291208791209,0.8669963369963372,0.3822642773892774,0.8299999999999998,0.43006439393939394,0.4669597115463751,0.05971876883642252,0.07272349159014715,0.22386648560525207,0.008728314504263491,0.7273260073260073,0.6654075091575092,0.16667216466295245,0.4720000000000001,0.19272462369269866,0.2876852628194725,0.48706005829529886
