dataset,method,experiment_type,S_AVG_ALL,T_AVG,COMBINED_AVG,Snapshot_1_in_degree,Snapshot_1_out_degree,Snapshot_1_wcc,Snapshot_1_scc,Snapshot_1_hop_plot,Snapshot_1_hop_plot_wcc,Snapshot_1_singular_vec,Snapshot_1_singular_val,Snapshot_1_clustering,Snapshot_1_AVG,Snapshot_2_in_degree,Snapshot_2_out_degree,Snapshot_2_wcc,Snapshot_2_scc,Snapshot_2_hop_plot,Snapshot_2_hop_plot_wcc,Snapshot_2_singular_vec,Snapshot_2_singular_val,Snapshot_2_clustering,Snapshot_2_AVG,Snapshot_3_in_degree,Snapshot_3_out_degree,Snapshot_3_wcc,Snapshot_3_scc,Snapshot_3_hop_plot,Snapshot_3_hop_plot_wcc,Snapshot_3_singular_vec,Snapshot_3_singular_val,Snapshot_3_clustering,Snapshot_3_AVG,Snapshot_4_in_degree,Snapshot_4_out_degree,Snapshot_4_wcc,Snapshot_4_scc,Snapshot_4_hop_plot,Snapshot_4_hop_plot_wcc,Snapshot_4_singular_vec,Snapshot_4_singular_val,Snapshot_4_clustering,Snapshot_4_AVG,T_T1_dpl,T_T2_diameter,T_T3_cc_size,T_T4_singular,T_T5_clustering,T_T_AVG,alpha
cit-HepPh,RN,back_in_time,0.2074898378126017,0.26666666666666666,0.23707825223963416,0.03375642840236828,0.03534788062944691,0.019077731330676122,0.0009144269093226315,0.18514957264957266,0.21923076923076926,0.14781858889517757,0.7888888888888889,0.25862197601328035,0.18764514032772253,0.18537569543975219,0.25497234138725383,0.04237027475433388,0.0007449339805704992,0.08974358974358974,0.19017094017094016,0.21637031243923274,0.5666666666666668,0.1495652706832831,0.18844222502951366,0.27720809368975574,0.3975803905218617,0.06857794702523136,0.0005664655339977509,0.19754738015607579,0.19552669552669552,0.33756556550288996,0.4666666666666666,0.15454596976336107,0.2328650193762817,0.3256505020527979,0.47974702163491356,0.1501166081565235,0.003567288748778208,0.12222222222222223,0.15705128205128205,0.38898771196430837,0.25555555555555554,0.1061645062656185,0.22100696651688886,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.3333333333333333,0.26666666666666666,
cit-HepPh,RPN,back_in_time,0.1701030157796591,0.20000000000000004,0.18505150788982952,0.20468033553558174,0.2826641126781041,0.04103944170016732,0.002696502491303401,0.19958720330237356,0.2193899782135076,0.3668091503421529,0.5444444444444444,0.3813384813384813,0.24918329444956852,0.043202598268988444,0.034808251952552806,0.06982848764672248,0.002526818287816098,0.1154970760233918,0.14025952261246377,0.08546711559254468,0.22222222222222224,0.2734877734877735,0.10969998512160843,0.08198015190082346,0.14883421187545287,0.09603615991761995,0.001825207577280367,0.2017981868567412,0.2018645842175254,0.10142370118883078,0.30000000000000004,0.19103719103719105,0.14719993273016277,0.13188396556102758,0.24286188812391693,0.1775748210489121,0.0017852131667974354,0.08996101364522417,0.12186624649859944,0.14740111647649756,0.4666666666666666,0.18895872616802847,0.17432885081729674,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,
cit-HepPh,RDN,back_in_time,0.18850139443373246,0.22666666666666666,0.20758403055019956,0.2999809148703622,0.4405107038685923,0.055586173858225944,0.005865791971322386,0.1965141612200436,0.18823529411764706,0.5255225776025454,0.5777777777777777,0.42642663435462463,0.30182444773790457,0.14578324742571877,0.19683167562216256,0.08509355553729898,0.005696107767835082,0.20712074303405573,0.11288275994158348,0.29185232572610187,0.24444444444444446,0.3110381421046868,0.17786033351154307,0.04904573596667559,0.049574394256916184,0.11130122780819644,0.004994497057299337,0.16108543595419353,0.11096079846079847,0.2213614357799768,0.22222222222222224,0.22519673506344787,0.1284158313966363,0.026381772174084144,0.06204349084836014,0.19283988893948864,0.0013840763132215346,0.13968253968253966,0.1323529411764706,0.1943950913655926,0.3111111111111111,0.2529537741887437,0.1459049650888458,0.20000000000000004,0.3333333333333333,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.22666666666666666,
cit-HepPh,RW,back_in_time,0.3091524913069759,0.20000000000000004,0.25457624565348796,0.32858817396508383,0.4493233375076416,1.0,0.00390962608466985,0.19581320450885667,0.21863929146537842,0.5047653086088253,0.24444444444444446,0.46739607745967504,0.3792088293382861,0.1654293177428834,0.21904323539326206,0.9980582524271845,0.0037399418811825476,0.10322534811025859,0.12947921643573818,0.2430255770334158,0.5111111111111111,0.34719491612501036,0.3022563240288941,0.07544010556859491,0.07343819790561935,0.9969512195121951,0.0030383311706467797,0.19228778467908902,0.14487263943785683,0.16020090928083183,0.6333333333333334,0.2488294818893937,0.28093244475306234,0.05188506938495702,0.04088841709183703,0.9957446808510638,0.0014493195603402602,0.09801587301587301,0.11637022397891962,0.16075679603303386,0.7222222222222222,0.280578701830704,0.2742123671076612,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,
cit-HepPh,FF,back_in_time,0.20213993583615655,0.20000000000000004,0.2010699679180783,0.23442117812370034,0.3671220178183481,0.29510586984405845,0.00426859785882677,0.19619047619047617,0.22661396574440051,0.39445671196218796,0.48888888888888893,0.4848628779575071,0.2991033982653772,0.08219668065890151,0.11958954538961326,0.2655984881649854,0.004098913655339468,0.1130952380952381,0.15075591075591074,0.10044818464230891,0.18888888888888888,0.39394022431106834,0.15762356384025053,0.07051889194780288,0.04437985430422527,0.23939081589408795,0.003397302944803745,0.2222912353347136,0.16757879801358064,0.07946444695166531,0.4222222222222222,0.2875620259251973,0.17075617705981097,0.12033636013795905,0.13350138534661812,0.1578521547627958,0.0009528206205212294,0.10952380952380952,0.10963744588744588,0.12472493199326795,0.5555555555555555,0.31760497378471564,0.1810766041791876,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,
cit-HepPh,HYB-RN-RW(alpha=0.3),back_in_time,0.17461491050100142,0.20000000000000004,0.18730745525050074,0.26312705295651306,0.354345577434684,0.06874048375325752,0.0021280552369693445,0.19934210526315788,0.189126559714795,0.44305413406761823,0.5555555555555556,0.4146791039648183,0.2766776253274854,0.10140512696681687,0.10398734704980794,0.09824786543233055,0.0020381986256544893,0.12895622895622896,0.11546966964923622,0.1833362377968543,0.17777777777777778,0.3033738748024462,0.13495470300635037,0.03114981426036308,0.0553459622277083,0.12445553770322802,0.0014042162168228882,0.15301351106977704,0.162280701754386,0.1198485323017389,0.2888888888888889,0.21916112987541558,0.12839425492203652,0.06677912126878842,0.14863734066553747,0.2059941988345202,0.002353660421131498,0.09521687462863933,0.08757941582430073,0.12055511872376688,0.4666666666666666,0.23211513169984932,0.1584330587481334,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.3
cit-HepPh,HYB-RN-RW(alpha=0.5),back_in_time,0.17302070748312426,0.21333333333333335,0.19317702040822882,0.20464551715273152,0.2805003668513615,0.04767534329129499,0.0017543022717036233,0.2152734778121775,0.23177387914230022,0.38062025402615296,0.5222222222222223,0.40713012477718363,0.25462172083856977,0.052566160742055064,0.03165921675704539,0.07718272497036803,0.0016875117114377152,0.12037037037037035,0.14928774928774927,0.12944935798148463,0.13333333333333333,0.29273921689888077,0.10980840467252495,0.05411591494986121,0.1322687466083712,0.10339039724126549,0.0015212697762966298,0.2470114615894667,0.173536187468076,0.1291108931817142,0.3222222222222222,0.18838978015448604,0.15017409702130666,0.10355524798315618,0.22489232311820748,0.18492905837255766,0.0029919255280168957,0.09722222222222222,0.11982212475633529,0.15551535529040325,0.48888888888888893,0.21949032044107283,0.1774786074000956,0.20000000000000004,0.26666666666666666,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.21333333333333335,0.5
cit-HepPh,HYB-RN-RW(alpha=0.7),back_in_time,0.17753702020471054,0.25333333333333335,0.2154351767690219,0.129064167270558,0.19541489466549766,0.03485355688375801,0.001220368970434995,0.2134453781512605,0.21900452488687783,0.30384454886358064,0.6,0.3750691976044089,0.2302129596995974,0.037660464155448416,0.07726605626553779,0.06436093856283105,0.0010506847669476918,0.11726190476190475,0.1629884004884005,0.1104930001601817,0.2111111111111111,0.2799671552186643,0.11801774616566969,0.13102648260289526,0.22599480837517985,0.09056861083372852,0.0006542323071103695,0.20411778237865194,0.17537277537277537,0.1714349800800005,0.2888888888888889,0.18901128056057637,0.16411887126664523,0.1788992268130922,0.3158261326587887,0.1721072719650207,0.003261346687665867,0.1125,0.15337301587301586,0.22199352554049487,0.41111111111111115,0.21111490253317966,0.19779850368692986,0.20000000000000004,0.26666666666666666,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.25333333333333335,0.7
cit-HepPh,HYB-RN-FF(alpha=0.3),back_in_time,0.17972360642499086,0.20000000000000004,0.18986180321249543,0.21959168746860636,0.31713116150687726,0.03179032161056213,0.0027642373411594693,0.20133091349062313,0.24147869674185463,0.3822304710536977,0.5666666666666667,0.486674086978965,0.2721842492065569,0.06140616572055895,0.06637623848155876,0.06129770328963518,0.0025945531376721656,0.1017885623148781,0.16428250112460638,0.11923286611977955,0.16666666666666666,0.3629620411850378,0.1229563664489326,0.07220613794920294,0.09659815701349257,0.08750537556053266,0.001892942427136372,0.2252869980780219,0.19539842873176205,0.09931154748599762,0.2333333333333333,0.29872750330067405,0.1455844915422393,0.1237794918441294,0.18978127895740485,0.1690440366918248,0.0017174783169414305,0.08991060025542785,0.12777777777777777,0.14511575304319357,0.45555555555555555,0.3008418940778555,0.17816931850223452,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.3
cit-HepPh,HYB-RN-FF(alpha=0.5),back_in_time,0.1785779494868042,0.21333333333333335,0.1959556414100688,0.18279132809632523,0.27031753248740115,0.037806392121314265,0.0017238060565446555,0.23818890660995926,0.2457084740837601,0.37150984282937277,0.611111111111111,0.42302596714361423,0.26468704005993365,0.02750151974092792,0.027844173239761173,0.06731377380038729,0.0015541218530573525,0.12037037037037036,0.20388950823733434,0.09715155142857416,0.2333333333333333,0.30255345381395804,0.12016797842418932,0.08538579114238072,0.15949873675310322,0.09352144607128478,0.0009327436688925476,0.28668289080188397,0.2094495681452203,0.09137021450580907,0.16666666666666666,0.2143885967415379,0.1453218504996421,0.1381043470421669,0.2535493574889847,0.17506010720257695,0.0027579096015561966,0.13148148148148148,0.16277910685805422,0.1380388512985993,0.41111111111111115,0.24433208858653455,0.1841349289634517,0.20000000000000004,0.26666666666666666,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.21333333333333335,0.5
