dataset,ratio,method,method_type,alpha,run,n_samples,in_degree,out_degree,wcc,scc,hop_plot,hop_plot_wcc,singular_vec,singular_val,clustering,AVG,experiment_type,S_AVG_ALL,T_AVG,COMBINED_AVG,Snapshot_1_in_degree,Snapshot_1_out_degree,Snapshot_1_wcc,Snapshot_1_scc,Snapshot_1_hop_plot,Snapshot_1_hop_plot_wcc,Snapshot_1_singular_vec,Snapshot_1_singular_val,Snapshot_1_clustering,Snapshot_1_AVG,Snapshot_2_in_degree,Snapshot_2_out_degree,Snapshot_2_wcc,Snapshot_2_scc,Snapshot_2_hop_plot,Snapshot_2_hop_plot_wcc,Snapshot_2_singular_vec,Snapshot_2_singular_val,Snapshot_2_clustering,Snapshot_2_AVG,Snapshot_3_in_degree,Snapshot_3_out_degree,Snapshot_3_wcc,Snapshot_3_scc,Snapshot_3_hop_plot,Snapshot_3_hop_plot_wcc,Snapshot_3_singular_vec,Snapshot_3_singular_val,Snapshot_3_clustering,Snapshot_3_AVG,Snapshot_4_in_degree,Snapshot_4_out_degree,Snapshot_4_wcc,Snapshot_4_scc,Snapshot_4_hop_plot,Snapshot_4_hop_plot_wcc,Snapshot_4_singular_vec,Snapshot_4_singular_val,Snapshot_4_clustering,Snapshot_4_AVG,T_T1_dpl,T_T2_diameter,T_T3_cc_size,T_T4_singular,T_T5_clustering,T_T_AVG
cit-HepTh,0.1,RN,baseline,,0.0,2777.0,0.43350318767741636,0.6038504966919259,0.8458371816862383,0.005203803823738085,0.9714285714285714,0.9411764705882353,0.5199135758012243,1.0,0.1091820987654321,0.603343931829198,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RN,baseline,,1.0,2777.0,0.3956340760021536,0.5758925158125197,0.8498534660360386,0.0026730794577536354,0.9714285714285714,0.9411764705882353,0.46485415916456607,1.0,0.14506172839506173,0.5940637852094333,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RPN,baseline,,0.0,2777.0,0.14109509360064376,0.20470512760616644,0.8821283319191269,0.0004779014507768631,0.9142857142857143,0.9117647058823529,0.25956067698955704,0.98,0.3655115511551155,0.517725455876606,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RPN,baseline,,1.0,2777.0,0.15457583336968284,0.2323067889896655,0.8754771125289054,0.0033047640654169097,0.9142857142857143,0.9117647058823529,0.23802664746128915,0.96,0.3564655721013109,0.5162452376315931,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RDN,baseline,,0.0,2777.0,0.05807783097761132,0.13893220389143368,0.8661777247143101,0.001245089957259471,0.9142857142857143,0.9117647058823529,0.36658264314007927,0.94,0.26563122262046995,0.495855237274359,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RDN,baseline,,1.0,2777.0,0.06837077987141305,0.15744292526241843,0.8514975590447289,0.0013303438400177336,0.9142857142857143,0.9117647058823529,0.3517824990997479,0.94,0.29259259259259257,0.49878523554210946,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RW,baseline,,0.0,2777.0,0.06445386757577665,0.06739796466106263,0.993006993006993,0.0018154135360365364,0.8857142857142857,0.8823529411764706,0.3199135758012243,0.9,0.380718954248366,0.49948599952446826,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RW,baseline,,1.0,2777.0,0.035287246278432716,0.08442363874832759,0.993006993006993,0.0013953630588771082,0.9142857142857143,0.9117647058823529,0.1999639899171768,0.94,0.4136038073697107,0.4993034953941761,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RJ,baseline,,0.0,2777.0,0.16047376487007703,0.24839339707176145,0.4004144004144004,0.0012160855730716236,0.9142857142857143,0.9117647058823529,0.15876845516744686,0.98,0.3626543209876543,0.4597745382502754,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RJ,baseline,,1.0,2777.0,0.1817713390477268,0.24422972511516416,0.32634032634032634,0.0009180350516699853,0.9142857142857143,0.9117647058823529,0.16654663305725603,0.98,0.35749934331494615,0.45370620245501736,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,FF,baseline,,0.0,2777.0,0.01187175668182594,0.09667077911697264,0.993006993006993,0.0010529444862312776,0.8857142857142857,0.8823529411764706,0.3200936262153402,0.88,0.392949967511371,0.4959681437677212,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,FF,baseline,,1.0,2777.0,0.09815490209795641,0.025014488075348673,0.993006993006993,0.0011073037308927391,0.9142857142857143,0.9117647058823529,0.23086064097947434,0.92,0.4001610305958132,0.49937286429494954,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.3),hybrid,0.3,0.0,2777.0,0.16451480815978403,0.31124285050827327,0.9337477337477338,0.002598582194126231,0.9142857142857143,0.9117647058823529,0.15529809613260193,1.0,0.2908422120750888,0.5204771892206306,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.3),hybrid,0.3,1.0,2777.0,0.11914539863181195,0.21691453239435443,0.9638099127150223,0.0003254204011217121,0.9142857142857143,0.9117647058823529,0.13110490471183206,0.98,0.2741975308641975,0.5012831244318231,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.5),hybrid,0.5,0.0,2777.0,0.1995597141297476,0.36334372985018515,0.9150559907798215,0.002597352640577144,0.9428571428571428,0.9117647058823529,0.21801260153948077,1.0,0.23747005712179842,0.5322956994223451,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.5),hybrid,0.5,1.0,2777.0,0.16612233546335675,0.2834786826167168,0.9310600903521258,0.0003065470163688966,0.9142857142857143,0.9117647058823529,0.19459466041796047,0.98,0.2693798449612403,0.5167769534439818,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.7),hybrid,0.7,0.0,2777.0,0.29751261715933663,0.4649827797701772,0.8855939824169778,0.004086289250341157,0.9428571428571428,0.9411764705882353,0.3127820206385594,1.0,0.17844545225497607,0.5586040838817495,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.7),hybrid,0.7,1.0,2777.0,0.23409746163230194,0.3682889291372251,0.9003853289567575,0.001271602292097218,0.9428571428571428,0.9117647058823529,0.27338195558543765,1.0,0.20841455490578298,0.5378290756943442,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.3),hybrid,0.3,0.0,2777.0,0.09445956846138331,0.11017787923610939,0.9426472807767772,0.0010040097829144834,0.9142857142857143,0.9117647058823529,0.18910595335697683,0.96,0.41887125220458554,0.5047018182207571,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.3),hybrid,0.3,1.0,2777.0,0.031626815185011425,0.05020396287651541,0.9618651244948823,0.001384697883294983,0.9142857142857143,0.8823529411764706,0.23567006735307816,0.94,0.400352733686067,0.49086022854900385,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.5),hybrid,0.5,0.0,2777.0,0.09853733874386772,0.17596337595044187,0.9172494172494172,0.003323261073630124,0.9142857142857143,0.9117647058823529,0.22900375930316086,0.96,0.4289541113440484,0.5154535204258482,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.5),hybrid,0.5,1.0,2777.0,0.06721509823172966,0.14551247229716324,0.9253537160513905,0.0015559780790099786,0.9142857142857143,0.9117647058823529,0.2144682882455698,0.96,0.3469481943002192,0.4985671297081276,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.7),hybrid,0.7,0.0,2777.0,0.16278195488721803,0.24925522910388376,0.8885523079071466,0.004455016829543301,0.9142857142857143,0.9117647058823529,0.28270131630987266,0.98,0.3817283950617284,0.5306138489186066,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.7),hybrid,0.7,1.0,2777.0,0.20138504155124648,0.34592184386261404,0.895828309621413,0.0016429353778751876,0.9142857142857143,0.9117647058823529,0.3010484085986554,0.98,0.39702581369248036,0.5498780858747058,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.3),hybrid,0.3,0.0,2777.0,0.04079917427188329,0.10942077378982484,0.9353146853146853,0.0012422943522341079,0.9142857142857143,0.9117647058823529,0.2162831176887945,0.98,0.40746108427267846,0.5018412833175742,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.3),hybrid,0.3,1.0,2777.0,0.06925798101811897,0.161457314804048,0.953006993006993,0.0006884502235344758,0.9142857142857143,0.9117647058823529,0.18897139860394901,0.98,0.3389450056116723,0.5020419514929314,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.5),hybrid,0.5,0.0,2777.0,0.03680061640587956,0.08368873293224888,0.8815087351672718,0.0009471316528297802,0.9142857142857143,0.9117647058823529,0.22557547552250545,0.96,0.38308641975308644,0.48862861462243207,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.5),hybrid,0.5,1.0,2777.0,0.10889407061958689,0.20568657330740914,0.9248251748251748,0.00029871552325000383,0.9142857142857143,0.9117647058823529,0.15757952782558415,0.98,0.3723674655047204,0.5084113275304215,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.7),hybrid,0.7,0.0,2777.0,0.15967030656139725,0.26114106971284035,0.9063017906948543,0.0015715368119696427,0.9142857142857143,0.9117647058823529,0.1873357492184365,0.98,0.34814814814814815,0.5189132245906348,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.7),hybrid,0.7,1.0,2777.0,0.15410155625858823,0.263192984682598,0.9128882986449752,0.0032291067547013386,0.9142857142857143,0.9117647058823529,0.1877950415525403,0.98,0.3281771968046478,0.5172705116517908,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-FF(α=0.3),hybrid,0.3,0.0,2777.0,0.11713008062196739,0.10552515763013415,0.9116116441697837,0.001351142391676996,0.9142857142857143,0.9117647058823529,0.17936301017331446,0.96,0.45090845562543674,0.5057711011978201,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-FF(α=0.3),hybrid,0.3,1.0,2777.0,0.08227805933992804,0.06460458735584962,0.953006993006993,0.0007734963579282272,0.9142857142857143,0.9117647058823529,0.18403130742220475,0.96,0.4460129528435539,0.5018619796105027,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-FF(α=0.5),hybrid,0.5,0.0,2777.0,0.023749615782365896,0.04934663138083553,0.8856244426714225,0.0010957273539408119,0.9142857142857143,0.9117647058823529,0.23767500478085324,0.94,0.3976503385105536,0.48457690896089317,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-FF(α=0.5),hybrid,0.5,1.0,2777.0,0.11351313751886516,0.14436309541986558,0.9260924948657291,0.002240529456452256,0.9142857142857143,0.9117647058823529,0.19621348700763247,0.98,0.4240081505453674,0.5124979238868865,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-FF(α=0.7),hybrid,0.7,0.0,2777.0,0.11908592600111656,0.19364914275090161,0.8853146853146853,0.0017991120032047059,0.9142857142857143,0.9117647058823529,0.2401187866583226,0.98,0.38278102664067576,0.5143110110596638,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
