dataset,ratio,method,method_type,alpha,run,n_samples,in_degree,out_degree,wcc,scc,hop_plot,hop_plot_wcc,singular_vec,singular_val,clustering,AVG,experiment_type,S_AVG_ALL,T_AVG,COMBINED_AVG,Snapshot_1_in_degree,Snapshot_1_out_degree,Snapshot_1_wcc,Snapshot_1_scc,Snapshot_1_hop_plot,Snapshot_1_hop_plot_wcc,Snapshot_1_singular_vec,Snapshot_1_singular_val,Snapshot_1_clustering,Snapshot_1_AVG,Snapshot_2_in_degree,Snapshot_2_out_degree,Snapshot_2_wcc,Snapshot_2_scc,Snapshot_2_hop_plot,Snapshot_2_hop_plot_wcc,Snapshot_2_singular_vec,Snapshot_2_singular_val,Snapshot_2_clustering,Snapshot_2_AVG,Snapshot_3_in_degree,Snapshot_3_out_degree,Snapshot_3_wcc,Snapshot_3_scc,Snapshot_3_hop_plot,Snapshot_3_hop_plot_wcc,Snapshot_3_singular_vec,Snapshot_3_singular_val,Snapshot_3_clustering,Snapshot_3_AVG,Snapshot_4_in_degree,Snapshot_4_out_degree,Snapshot_4_wcc,Snapshot_4_scc,Snapshot_4_hop_plot,Snapshot_4_hop_plot_wcc,Snapshot_4_singular_vec,Snapshot_4_singular_val,Snapshot_4_clustering,Snapshot_4_AVG,T_T1_dpl,T_T2_diameter,T_T3_cc_size,T_T4_singular,T_T5_clustering,T_T_AVG
cit-HepTh,0.1,HYB-RN-RW(α=0.5),hybrid,0.5,0.0,2777.0,0.1995597141297476,0.36334372985018515,0.9150559907798215,0.002597352640577144,0.14285714285714285,0.10661764705882353,0.21801260153948077,1.0,0.23747005712179842,0.35394602621973076,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.5),hybrid,0.5,1.0,2777.0,0.16612233546335675,0.2834786826167168,0.9310600903521258,0.0003065470163688966,0.13626373626373625,0.13122171945701358,0.19459466041796047,0.98,0.2693798449612403,0.34360306850539096,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.7),hybrid,0.7,0.0,2777.0,0.29751261715933663,0.4649827797701772,0.8855939824169778,0.004086289250341157,0.14065934065934066,0.13122171945701358,0.3127820206385594,1.0,0.17844545225497607,0.37947602240074696,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.7),hybrid,0.7,1.0,2777.0,0.23409746163230194,0.3682889291372251,0.9003853289567575,0.001271602292097218,0.15714285714285714,0.15546218487394958,0.27338195558543765,1.0,0.20841455490578298,0.3664938749473788,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.3),hybrid,0.3,0.0,2777.0,0.09445956846138331,0.11017787923610939,0.9426472807767772,0.0010040097829144834,0.09243697478991597,0.1111111111111111,0.18910595335697683,0.96,0.41887125220458554,0.3244237810799748,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.3),hybrid,0.3,1.0,2777.0,0.031626815185011425,0.05020396287651541,0.9618651244948823,0.001384697883294983,0.10476190476190476,0.14705882352941177,0.23567006735307816,0.94,0.400352733686067,0.31921379219668505,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.5),hybrid,0.5,0.0,2777.0,0.09853733874386772,0.17596337595044187,0.9172494172494172,0.003323261073630124,0.09523809523809523,0.09803921568627451,0.22900375930316086,0.96,0.4289541113440484,0.3340342860654373,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.5),hybrid,0.5,1.0,2777.0,0.06721509823172966,0.14551247229716324,0.9253537160513905,0.0015559780790099786,0.09523809523809523,0.09215686274509804,0.2144682882455698,0.96,0.3469481943002192,0.3164943005764751,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.7),hybrid,0.7,0.0,2777.0,0.16278195488721803,0.24925522910388376,0.8885523079071466,0.004455016829543301,0.11428571428571428,0.14705882352941177,0.28270131630987266,0.98,0.3817283950617284,0.3567576397682799,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-FF(α=0.7),hybrid,0.7,1.0,2777.0,0.20138504155124648,0.34592184386261404,0.895828309621413,0.0016429353778751876,0.15714285714285714,0.15126050420168066,0.3010484085986554,0.98,0.39702581369248036,0.38125063489431354,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.3),hybrid,0.3,0.0,2777.0,0.04079917427188329,0.10942077378982484,0.9353146853146853,0.0012422943522341079,0.16302521008403362,0.17647058823529413,0.2162831176887945,0.98,0.40746108427267846,0.33666854755660314,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.3),hybrid,0.3,1.0,2777.0,0.06925798101811897,0.161457314804048,0.953006993006993,0.0006884502235344758,0.11071428571428571,0.14705882352941177,0.18897139860394901,0.98,0.3389450056116723,0.3277889169457792,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.5),hybrid,0.5,0.0,2777.0,0.03680061640587956,0.08368873293224888,0.8815087351672718,0.0009471316528297802,0.1392857142857143,0.12867647058823528,0.22557547552250545,0.96,0.38308641975308644,0.3155076995897524,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.5),hybrid,0.5,1.0,2777.0,0.10889407061958689,0.20568657330740914,0.9248251748251748,0.00029871552325000383,0.11428571428571428,0.1092436974789916,0.15757952782558415,0.98,0.3723674655047204,0.3303534377078257,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.7),hybrid,0.7,0.0,2777.0,0.15967030656139725,0.26114106971284035,0.9063017906948543,0.0015715368119696427,0.1523809523809524,0.14705882352941177,0.1873357492184365,0.98,0.34814814814814815,0.34928981967311223,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-RW(α=0.7),hybrid,0.7,1.0,2777.0,0.15410155625858823,0.263192984682598,0.9128882986449752,0.0032291067547013386,0.11428571428571428,0.11312217194570136,0.1877950415525403,0.98,0.3281771968046478,0.33964356343660745,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-FF(α=0.3),hybrid,0.3,0.0,2777.0,0.11713008062196739,0.10552515763013415,0.9116116441697837,0.001351142391676996,0.10714285714285714,0.09558823529411764,0.17936301017331446,0.96,0.45090845562543674,0.32540228700547646,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-FF(α=0.3),hybrid,0.3,1.0,2777.0,0.08227805933992804,0.06460458735584962,0.953006993006993,0.0007734963579282272,0.08214285714285714,0.09019607843137255,0.18403130742220475,0.96,0.4460129528435539,0.31811625910007635,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
